"Perioden";"Regio's";"Totaal (km2)";"Verkeersterrein/Spoorterrein (km2)";"Verkeersterrein/Wegverkeersterrein (km2)";"Verkeersterrein/Vliegveld (km2)";"Bebouwd terrein/Woonterrein (km2)";"Bebouwd terrein/Bedrijventerreinen (km2)";"Bebouwd terrein/Sociaal-culturele voorzieningen (km2)";"Semi-bebouwd terrein/Delfstofwinplaats (km2)";"Semi-bebouwd terrein/Bouwterrein (km2)";"Semi-bebouwd terrein/Overige semi-bebouwde terreinen (km2)";"Recreatieterrein/Park en plantsoen (km2)";"Recreatieterrein/Sportterrein (km2)";"Recreatieterrein/Overige recreatieterreinen (km2)";"Agrarisch terrein/Terrein voor glastuinbouw (km2)";"Agrarisch terrein/Overig agrarisch terrein (km2)";"Bos en open natuurlijk terrein/Bos (km2)";"Bos en open natuurlijk terrein/Open natuurlijke terreinen (km2)";"Water/Binnenwater (km2)";"Water/Buitenwater (km2)"
"1997";"Groningen (PV)";"    2967";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1998";"Groningen (PV)";"    2968";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1999";"Groningen (PV)";"    2968";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2000";"Groningen (PV)";"    2968";"       5";"      58";"       0";"     104";"      35";"       7";"       5";"      22";"      10";"      12";"      13";"      11";"       1";"    1922";"      69";"      61";"      67";"     565"
"2001";"Groningen (PV)";"    2968";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2002";"Groningen (PV)";"    2968";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2003";"Groningen (PV)";"    2968";"       5";"      59";"       0";"     105";"      39";"       7";"       5";"      18";"       9";"      13";"      13";"      11";"       1";"    1903";"      76";"      69";"      70";"     564"
"2004";"Groningen (PV)";"    2968";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2005";"Groningen (PV)";"    2968";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2006";"Groningen (PV)";"    2960";"       5";"      60";"       0";"     106";"      41";"       7";"       5";"      24";"       9";"      13";"      14";"      11";"       1";"    1887";"      75";"      67";"      78";"     557"
"2007";"Groningen (PV)";"    2960";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2008";"Groningen (PV)";"    2960";"       5";"      59";"       0";"     107";"      43";"       7";"       5";"      25";"       9";"      14";"      14";"      10";"       1";"    1882";"      76";"      67";"      78";"     557"
"2009";"Groningen (PV)";"    2960";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2010";"Groningen (PV)";"    2960";"       5";"      60";"       0";"     109";"      42";"       7";"       6";"      28";"       9";"      13";"      14";"      10";"       1";"    1875";"      73";"      72";"      81";"     555"
"2011";"Groningen (PV)";"    2960";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2012";"Groningen (PV)";"    2960";"       5";"      60";"       0";"     110";"      44";"       7";"       6";"      28";"       8";"      14";"      14";"      10";"       1";"    1874";"      70";"      75";"      80";"     554"
"2013";"Groningen (PV)";"    2960";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2014";"Groningen (PV)";"    2960";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2015";"Groningen (PV)";"    2960";"       5";"      59";"       0";"     111";"      46";"       8";"       6";"      22";"       9";"      14";"      14";"      12";"       1";"    1869";"      64";"      85";"      82";"     554"
"1950";"Friesland (PV)";"    3528";"       5";"      46";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       1";"       .";"       .";"       .";"    2824";"      64";"     347";"       .";"       ."
"1951";"Friesland (PV)";"    3607";"       6";"      50";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       1";"       .";"       .";"       .";"    2820";"      60";"     340";"       .";"       ."
"1952";"Friesland (PV)";"    3630";"       5";"      51";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    2828";"      61";"     324";"       .";"       ."
"1953";"Friesland (PV)";"    3654";"       5";"      53";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    2866";"      61";"     326";"       .";"       ."
"1954";"Friesland (PV)";"    3654";"       5";"      52";"       4";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    2868";"      62";"     324";"       .";"       ."
"1955";"Friesland (PV)";"    3654";"       5";"      52";"       4";"       .";"       .";"       .";"       .";"       0";"       .";"       2";"       .";"       .";"       .";"    2834";"      63";"     322";"       .";"       ."
"1956";"Friesland (PV)";"    3654";"       5";"      53";"       4";"       .";"       .";"       .";"       .";"       0";"       .";"       2";"       .";"       .";"       .";"    2851";"      63";"     303";"       .";"       ."
"1957";"Friesland (PV)";"    3654";"       5";"      54";"       4";"       .";"       .";"       .";"       .";"       1";"       .";"       2";"       .";"       .";"       .";"    2849";"      63";"     301";"       .";"       ."
"1958";"Friesland (PV)";"    3654";"       5";"      54";"       4";"       .";"       .";"       .";"       .";"       1";"       .";"       2";"       .";"       .";"       .";"    2844";"      63";"     300";"       .";"       ."
"1959";"Friesland (PV)";"    3655";"       5";"      55";"       4";"       .";"       .";"       .";"       .";"       2";"       .";"       2";"       .";"       .";"       .";"    2843";"      63";"     299";"       .";"       ."
"1960";"Friesland (PV)";"    3655";"       5";"      57";"       4";"       .";"       .";"       .";"       .";"       2";"       .";"       3";"       .";"       .";"       .";"    2841";"      63";"     296";"       .";"       ."
"1961";"Friesland (PV)";"    3655";"       5";"      57";"       4";"       .";"       .";"       .";"       .";"       3";"       .";"       3";"       .";"       .";"       .";"    2838";"      64";"     295";"       .";"       ."
"1962";"Friesland (PV)";"    3670";"       5";"      58";"       4";"       .";"       .";"       .";"       .";"       4";"       .";"       3";"       .";"       .";"       .";"    2835";"      64";"     298";"       .";"       ."
"1963";"Friesland (PV)";"    3672";"       5";"      58";"       4";"       .";"       .";"       .";"       .";"       5";"       .";"       3";"       .";"       .";"       .";"    2832";"      64";"     300";"       .";"       ."
"1964";"Friesland (PV)";"    3707";"       5";"      58";"       4";"       .";"       .";"       .";"       .";"       5";"       .";"       3";"       .";"       .";"       .";"    2821";"      70";"     334";"       .";"       ."
"1965";"Friesland (PV)";"    3689";"       5";"      44";"       4";"       .";"       .";"       .";"       .";"       6";"       .";"       3";"       .";"       .";"       .";"    2852";"      72";"     285";"       .";"       ."
"1966";"Friesland (PV)";"    3760";"       4";"      38";"       4";"       .";"       .";"       .";"       .";"       5";"       .";"       4";"       .";"       .";"       .";"    2875";"      84";"     271";"       .";"       ."
"1967";"Friesland (PV)";"    3759";"       4";"      42";"       4";"       .";"       6";"       .";"       .";"       7";"       .";"       4";"       .";"       .";"       .";"    2859";"      87";"     269";"       .";"       ."
"1968";"Friesland (PV)";"    3792";"       4";"      44";"       4";"       .";"       6";"       .";"       .";"       8";"       .";"       5";"       .";"       .";"       .";"    2857";"      87";"     269";"       .";"       ."
"1969";"Friesland (PV)";"    3792";"       4";"      44";"       4";"       .";"       6";"       .";"       .";"       7";"       .";"       5";"       .";"       .";"       .";"    2854";"      87";"     269";"       .";"       ."
"1970";"Friesland (PV)";"    3792";"       4";"      44";"       4";"       .";"       6";"       .";"       .";"       9";"       .";"       4";"       .";"       .";"       .";"    2848";"      90";"     268";"       .";"       ."
"1971";"Friesland (PV)";"    3803";"       4";"      46";"       4";"       .";"       6";"       .";"       .";"       9";"       .";"       3";"       .";"       .";"       .";"    2841";"      90";"     207";"       .";"       ."
"1972";"Friesland (PV)";"    3803";"       4";"      47";"       4";"       .";"       6";"       .";"       .";"       9";"       .";"       4";"       2";"       .";"       .";"    2827";"      90";"     206";"       .";"       ."
"1973";"Friesland (PV)";"    3863";"       4";"      45";"       4";"       .";"       7";"       .";"       .";"      11";"       .";"       3";"       5";"       .";"       .";"    2850";"      90";"     206";"       .";"       ."
"1974";"Friesland (PV)";"    3863";"       3";"      46";"       4";"       .";"       7";"       .";"       .";"      11";"       .";"       2";"       5";"";"       .";"    2842";"      91";"     207";"       .";"       ."
"1975";"Friesland (PV)";"    3865";"       4";"      47";"       4";"       .";"       7";"       .";"       .";"      12";"       .";"       2";"       5";"";"       .";"    2827";"      96";"     208";"       .";"       ."
"1976";"Friesland (PV)";"    3864";"       4";"      48";"       4";"       .";"       7";"       .";"       .";"      12";"       .";"       2";"       5";"";"       .";"    2819";"      96";"     207";"       .";"       ."
"1977";"Friesland (PV)";"    3808";"       6";"      79";"       5";"      93";"      16";"       4";"       4";"      15";"       7";"       6";"      10";"      18";"       1";"    2753";"      81";"     256";"     207";"     249"
"1978";"Friesland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1979";"Friesland (PV)";"    3808";"       6";"      81";"       5";"     101";"      18";"       5";"       4";"      15";"       7";"       6";"      11";"      20";"       1";"    2736";"      82";"     255";"     207";"     249"
"1980";"Friesland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1981";"Friesland (PV)";"    3809";"       6";"      82";"       5";"     104";"      20";"       5";"       5";"      15";"       8";"       6";"      12";"      21";"       1";"    2723";"      85";"     256";"     207";"     249"
"1982";"Friesland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1983";"Friesland (PV)";"    3788";"       6";"      86";"       3";"     108";"      22";"       5";"       4";"      12";"       7";"       5";"      13";"      21";"       1";"    2716";"      86";"     257";"     208";"     228"
"1984";"Friesland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1985";"Friesland (PV)";"    3792";"       6";"      93";"       2";"     107";"      22";"       5";"       4";"      12";"      10";"       5";"      14";"      22";"       1";"    2703";"      90";"     257";"     208";"     229"
"1986";"Friesland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1987";"Friesland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1988";"Friesland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1989";"Friesland (PV)";"    5315";"       6";"      98";"       2";"     109";"      23";"       6";"       5";"       9";"      11";"       5";"      14";"      22";"       1";"    2700";"      95";"     253";"     211";"    1746"
"1990";"Friesland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1991";"Friesland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1992";"Friesland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1993";"Friesland (PV)";"    5741";"       5";"      94";"       2";"     112";"      24";"       6";"       5";"      10";"       9";"       5";"      15";"      23";"       1";"    2684";"     103";"     265";"     637";"    1743"
"1994";"Friesland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1995";"Friesland (PV)";"    5741";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1996";"Friesland (PV)";"    5741";"       4";"      80";"       1";"     107";"      28";"       6";"       2";"       9";"       9";"       7";"      16";"      20";"       1";"    2677";"     116";"     267";"     644";"    1743"
"1997";"Friesland (PV)";"    5741";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1998";"Friesland (PV)";"    5741";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1999";"Friesland (PV)";"    5741";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2000";"Friesland (PV)";"    5741";"       4";"      82";"       1";"     113";"      34";"       6";"       2";"      15";"       9";"       8";"      16";"      22";"       1";"    2649";"     118";"     269";"     651";"    1741"
"2001";"Friesland (PV)";"    5741";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2002";"Friesland (PV)";"    5741";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2003";"Friesland (PV)";"    5741";"       4";"      83";"       1";"     113";"      39";"       7";"       2";"      16";"       9";"       9";"      17";"      22";"       1";"    2634";"     114";"     270";"     653";"    1746"
"2004";"Friesland (PV)";"    5741";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2005";"Friesland (PV)";"    5741";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2006";"Friesland (PV)";"    5749";"       4";"      82";"       1";"     116";"      44";"       7";"       2";"      18";"       9";"       9";"      17";"      22";"       2";"    2619";"     115";"     274";"     656";"    1752"
"2007";"Friesland (PV)";"    5749";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"2008";"Friesland (PV)";"    5749";"       4";"      81";"       1";"     117";"      46";"       7";"       2";"      20";"       9";"       9";"      18";"      23";"       2";"    2610";"     115";"     276";"     657";"    1751"
"2009";"Friesland (PV)";"    5749";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
